Date,City,Temperature (°C),Max Temperature (°C),Min Temperature (°C),Precipitation (mm),Wind Speed (m/s),Max Wind Speed (m/s),Min Wind Speed (m/s),Estimated Solar Energy Consumption (kWh),Year,Month
2015-06-09,Ottawa,8.52,10.84,5.82,22.07,1.92,3.09,1.2,0.0001473516,2015,6
2015-06-10,Calgary,11.9,16.48,6.45,0.01,1.39,2.12,0.25,0.0027044864,2015,6
2015-06-10,Edmonton,16.32,21.72,9.77,0.0,1.41,2.52,0.04,0.0025548336,2015,6
2015-06-10,Hamilton,13.04,18.24,6.98,0.05,1.18,1.93,0.16,0.0027044864,2015,6
2015-06-10,Halifax,15.79,20.69,9.08,0.0,1.55,2.21,0.33,0.0029513484,2015,6
2015-06-11,Toronto,17.65,22.8,10.9,0.0,1.3,2.03,0.13,0.0029874944,2015,6
2015-06-11,Vancouver,18.68,23.58,12.5,0.01,1.49,2.2,0.55,0.0030020144,2015,6
2015-06-11,Montreal,18.6,24.08,12.31,0.01,1.5,2.27,0.98,0.00278091,2015,6
2015-06-11,Halifax,13.26,17.77,6.97,0.0,1.23,1.88,0.43,0.0030457856,2015,6
2015-06-12,Toronto,17.41,21.78,11.26,0.0,1.46,2.04,0.79,0.0026359344,2015,6
2015-06-12,Halifax,10.2,12.6,7.91,26.6,3.11,4.33,1.76,9.76844e-05,2015,6
2015-06-13,Quebec City,13.99,19.37,7.48,0.08,1.53,2.19,0.55,0.0032240384,2015,6
2015-06-13,Winnipeg,17.74,23.48,10.52,0.16,1.48,2.23,0.37,0.0033380204,2015,6
2015-06-13,Hamilton,21.24,28.89,13.3,0.17,1.52,2.71,0.11,0.0031939776,2015,6
2015-06-14,Toronto,17.67,21.03,12.92,0.06,1.48,2.46,0.22,0.0028654956,2015,6
2015-06-14,Calgary,17.72,21.84,12.41,0.05,1.06,2.09,0.14,0.00288684,2015,6
2015-06-14,Ottawa,18.03,21.38,13.8,0.01,0.85,1.34,0.33,0.0028726016,2015,6
2015-06-14,Edmonton,16.21,19.88,12.72,0.36,1.21,1.9,0.18,0.0028726016,2015,6
2015-06-14,Quebec City,16.4,20.25,12.18,0.54,1.25,2.24,0.08,0.00250811,2015,6
2015-06-14,Hamilton,16.29,20.36,10.47,0.07,1.28,1.96,0.06,0.00299475,2015,6
2015-06-14,Halifax,19.29,23.83,12.1,0.14,1.14,2.07,0.11,0.00325424,2015,6
2015-06-15,Toronto,20.51,24.26,15.26,0.11,1.2,1.66,0.48,0.0031342783999999,2015,6
2015-06-15,Vancouver,17.32,19.93,14.5,0.01,1.54,2.93,0.38,0.00260876,2015,6
2015-06-15,Montreal,17.31,21.64,13.22,0.08,0.98,2.05,0.14,0.0025884716,2015,6
2015-06-15,Hamilton,15.93,20.4,10.68,0.1,1.52,2.02,0.86,0.0029369516,2015,6
2015-06-16,Vancouver,15.55,20.34,9.29,0.0,1.37,1.9,0.54,0.0026291276,2015,6
2015-06-16,Montreal,17.85,21.86,13.3,0.0,1.14,1.74,0.5,0.0029082636,2015,6
2015-06-16,Hamilton,17.29,23.05,10.65,0.03,1.44,2.17,0.29,0.0024684044,2015,6
2015-06-16,Halifax,19.12,23.8,13.5,0.24,1.36,2.15,0.58,0.0028019376,2015,6
2015-06-17,Montreal,16.61,20.91,12.43,0.03,0.97,1.85,0.21,0.0026495743999999,2015,6
2015-06-17,Calgary,17.14,21.18,12.34,0.01,1.09,1.85,0.44,0.0025347563999999,2015,6
2015-06-17,Edmonton,18.22,23.69,11.51,0.07,1.48,2.06,0.29,0.0026223296,2015,6
2015-06-25,Montreal,7.24,8.03,6.05,34.76,1.93,2.78,1.42,1.7463600000000003e-05,2015,6
2015-06-25,Calgary,7.48,9.02,4.46,35.42,2.97,4.82,1.16,0.000275,2015,6
2015-06-25,Ottawa,5.65,8.41,2.77,57.32,3.07,4.42,2.06,4.228399999999999e-06,2015,6
2015-06-25,Edmonton,6.37,7.69,4.44,27.38,2.2,3.34,0.82,8.91e-06,2015,6
2015-06-25,Winnipeg,3.87,6.74,2.65,30.29,2.93,3.7,1.89,8.91e-06,2015,6
2015-06-26,Halifax,1.82,5.02,-2.66,22.53,2.72,4.72,1.42,2.5344e-06,2015,6
2015-06-27,Halifax,2.92,3.39,2.34,33.51,2.23,3.5,1.75,2.9744000000000007e-06,2015,6
2015-06-28,Toronto,3.12,4.12,2.22,37.1,3.96,5.96,2.05,1.42956e-05,2015,6
2015-06-28,Vancouver,2.77,3.15,2.29,51.28,4.53,6.09,1.86,2.1296000000000003e-06,2015,6
2015-06-28,Montreal,2.45,2.92,2.06,25.97,3.11,5.16,2.41,1.5839999999999997e-05,2015,6
2015-06-28,Quebec City,1.86,2.29,1.51,64.04,3.05,4.03,2.02,3.4496000000000004e-06,2015,6
2015-06-28,Hamilton,2.09,4.74,-0.42,38.03,2.81,4.02,1.61,2.75e-06,2015,6
2015-06-28,Halifax,5.43,6.43,4.73,40.94,2.76,3.59,2.16,4.228399999999999e-06,2015,6
2015-06-29,Vancouver,3.01,3.36,2.65,22.37,2.24,2.65,1.68,4.7916e-06,2015,6
2015-06-29,Calgary,4.3,6.61,2.73,25.45,2.82,3.99,1.57,4.5056000000000005e-06,2015,6
2015-06-29,Hamilton,1.52,2.32,0.7,26.35,1.95,3.1,1.24,2.9744000000000007e-06,2015,6
2015-07-01,Ottawa,1.29,2.31,0.59,27.37,1.4,2.12,0.12,5.7024e-06,2015,7
2015-07-01,Quebec City,-0.29,0.32,-1.29,23.76,3.29,6.14,1.85,1.9404e-06,2015,7
2015-07-02,Edmonton,-1.51,1.01,-3.57,26.33,2.09,3.11,0.77,6.336e-07,2015,7
2015-07-02,Quebec City,-1.77,0.07,-3.4,21.97,3.32,5.33,1.5,2.1296000000000003e-06,2015,7
2015-07-03,Calgary,2.62,3.11,1.97,27.42,2.13,2.82,0.8,3.959999999999999e-06,2015,7
2015-07-04,Edmonton,2.99,3.75,2.29,22.51,3.64,5.96,2.17,2.1296000000000003e-06,2015,7
2015-07-04,Quebec City,2.61,3.56,1.57,21.23,3.41,4.21,2.45,1.3798400000000002e-05,2015,7
2015-07-04,Winnipeg,1.62,1.89,1.39,22.12,2.78,3.49,2.02,8.518400000000001e-06,2015,7
2015-07-04,Hamilton,1.57,1.85,1.09,26.63,3.19,5.44,2.12,8.518400000000001e-06,2015,7
2015-07-04,Halifax,1.83,2.36,1.31,43.77,4.14,5.9,2.33,1.91664e-05,2015,7
2015-07-05,Quebec City,1.71,3.48,0.06,47.9,2.41,2.82,2.08,3.4496000000000004e-06,2015,7
2015-07-05,Winnipeg,2.69,3.28,1.75,47.78,2.21,2.64,1.46,9.719600000000004e-06,2015,7
2015-07-07,Quebec City,0.11,1.12,-1.09,23.24,1.79,2.77,0.79,4.57776e-05,2015,7
2015-07-08,Winnipeg,0.05,0.93,-0.74,20.7,3.24,4.56,1.83,2.67696e-05,2015,7
2015-07-10,Halifax,2.15,3.43,0.07,22.32,2.01,3.09,1.37,4.13996e-05,2015,7
2015-07-11,Calgary,1.46,2.31,0.76,27.04,1.91,2.26,1.73,0.0001003244,2015,7
2015-07-12,Calgary,3.09,3.86,2.15,23.46,2.78,3.13,2.32,9.251e-05,2015,7
2015-07-12,Edmonton,5.11,6.79,3.61,23.16,3.54,4.3,2.45,0.0001489664,2015,7
2015-07-13,Vancouver,3.19,4.41,2.16,33.96,3.04,3.92,2.17,4.48844e-05,2015,7
2015-07-16,Toronto,13.28,20.01,6.83,0.0,1.88,2.66,1.2,0.00260876,2015,7
2015-07-16,Vancouver,17.71,26.87,8.37,0.01,1.6,2.99,0.04,0.00257499,2015,7
2015-07-16,Montreal,19.52,23.48,15.07,0.0,1.31,1.85,0.5,0.00257499,2015,7
2015-07-16,Calgary,17.72,21.71,12.98,0.01,1.29,1.94,0.5,0.0025682624,2015,7
2015-07-17,Toronto,16.79,21.68,9.64,0.05,1.14,1.86,0.23,0.0029011135999999,2015,7
2015-07-17,Vancouver,17.91,22.6,12.45,0.01,1.41,1.82,0.48,0.0029082636,2015,7
2015-07-18,Winnipeg,9.76,10.95,7.48,21.16,2.25,3.52,0.72,0.0001112364,2015,7
2015-07-19,Edmonton,16.4,23.31,7.45,0.0,1.59,2.52,0.34,0.0029297664,2015,7
2015-07-19,Quebec City,19.4,25.39,11.27,0.24,1.71,2.94,0.6,0.0026838283999999,2015,7
2015-07-19,Winnipeg,21.08,26.93,13.79,0.41,1.44,2.54,0.39,0.0030238604,2015,7
2015-07-19,Hamilton,19.8,24.23,14.83,0.06,1.55,2.0,0.87,0.0028019376,2015,7
2015-07-22,Toronto,17.8,22.43,12.05,0.02,1.38,2.12,0.34,0.0030020144,2015,7
2015-07-22,Vancouver,18.75,23.32,13.44,0.27,1.42,1.92,0.15,0.0030604464,2015,7
2015-07-22,Montreal,17.99,22.31,13.53,0.03,1.63,2.44,0.5,0.0030238604,2015,7
2015-07-22,Calgary,18.93,25.58,12.25,0.09,1.53,2.37,0.07,0.0031342783999999,2015,7
2015-07-22,Ottawa,20.39,25.34,13.74,0.0,1.56,2.55,0.53,0.0031120364,2015,7
2015-07-22,Edmonton,22.26,29.12,16.1,0.12,1.06,1.78,0.06,0.0030092876,2015,7
2015-07-22,Quebec City,20.58,24.61,16.19,0.09,1.19,1.69,0.53,0.0028371595999999,2015,7
2015-07-23,Vancouver,19.14,24.14,12.04,0.15,1.35,2.3,0.47,0.0027529964,2015,7
2015-07-23,Montreal,20.88,24.92,14.93,2.03,1.41,2.17,0.54,0.0027669356,2015,7
2015-07-23,Calgary,21.12,25.49,15.87,0.6,1.46,1.91,0.66,0.0025682624,2015,7
2015-07-23,Edmonton,22.32,26.85,16.74,0.17,1.02,1.55,0.6,0.0025682624,2015,7
2015-07-28,Quebec City,9.18,10.44,8.45,20.92,1.79,2.33,1.15,0.0001394096,2015,7
2015-07-28,Winnipeg,8.92,10.41,7.99,24.8,2.12,3.09,0.72,7.208960000000001e-05,2015,7
2015-07-29,Vancouver,9.43,11.78,7.69,20.6,1.55,2.55,0.42,8.872159999999998e-05,2015,7
2015-07-29,Montreal,10.55,12.4,7.9,35.01,2.08,2.51,1.66,3.8055600000000016e-05,2015,7
2015-07-30,Vancouver,8.38,10.16,6.35,33.11,2.61,3.08,2.26,8.518400000000001e-06,2015,7
2015-07-30,Montreal,10.99,13.1,9.69,22.81,1.72,3.32,1.03,8.138240000000002e-05,2015,7
2015-08-01,Quebec City,8.22,9.2,7.05,22.48,2.11,3.4,0.97,1.48016e-05,2015,8
2015-08-01,Halifax,6.95,8.22,5.62,23.89,1.99,2.42,1.54,4.225760000000001e-05,2015,8
2015-08-02,Calgary,8.92,10.6,6.9,55.52,2.05,3.69,0.59,9.310400000000002e-06,2015,8
2015-08-02,Edmonton,6.89,7.84,6.38,43.68,2.18,3.36,1.48,1.48016e-05,2015,8
2015-08-03,Quebec City,4.32,6.57,2.57,24.46,1.75,2.91,1.11,3.887840000000001e-05,2015,8
2015-08-04,Calgary,3.83,5.48,2.72,22.88,2.16,2.7,1.67,1.2716000000000002e-06,2015,8
2015-08-04,Ottawa,3.04,4.53,2.26,21.67,2.43,3.61,1.61,8.91e-06,2015,8
2015-08-04,Hamilton,3.72,5.0,1.93,78.79,2.86,3.41,2.38,1.7600000000000003e-06,2015,8
2015-08-04,Halifax,5.18,6.42,4.19,40.53,2.12,2.87,1.41,2.094839999999999e-05,2015,8
2015-08-06,Vancouver,1.66,2.31,1.05,32.6,2.65,3.63,1.7,1.5884000000000003e-06,2015,8
2015-08-06,Calgary,1.71,2.58,0.81,40.97,3.0,3.94,1.99,3.2076e-06,2015,8
2015-08-06,Ottawa,1.22,1.85,0.06,27.83,2.92,4.58,1.42,1.01376e-05,2015,8
2015-08-06,Edmonton,1.83,2.77,0.77,52.39,2.62,4.01,1.54,2.1296000000000003e-06,2015,8
2015-08-06,Quebec City,2.87,3.42,1.11,20.57,3.45,4.35,2.48,1.9404e-06,2015,8
2015-08-06,Hamilton,2.36,3.12,1.26,44.69,3.07,4.7,1.85,1.5884000000000003e-06,2015,8
2015-08-06,Halifax,2.55,2.88,2.04,26.7,3.39,6.0,1.74,4.228399999999999e-06,2015,8
2015-08-07,Toronto,2.76,3.43,2.4,23.49,2.2,2.63,1.76,3.7004e-06,2015,8
2015-08-07,Montreal,2.29,3.91,-0.39,45.54,4.47,6.63,2.44,8.91e-06,2015,8
2015-08-08,Toronto,-1.43,0.62,-4.46,22.48,2.16,2.43,1.24,3.7004e-06,2015,8
2015-08-08,Vancouver,2.22,3.15,0.86,25.05,2.32,3.76,0.77,2.5344e-06,2015,8
2015-08-08,Edmonton,-1.09,0.2,-2.75,30.59,2.21,2.77,1.37,3.4496000000000004e-06,2015,8
2015-08-08,Quebec City,2.24,3.52,0.49,74.82,2.44,3.28,1.43,1.2716000000000002e-06,2015,8
2015-08-08,Winnipeg,2.53,2.89,2.35,25.85,2.54,3.64,1.77,8.91e-06,2015,8
2015-08-09,Montreal,2.21,2.82,0.94,32.27,2.85,3.36,2.24,2.1296000000000003e-06,2015,8
2015-08-10,Edmonton,0.15,1.37,-2.06,29.44,2.34,3.06,1.84,8.1356e-06,2015,8
2015-08-11,Edmonton,2.01,2.37,1.79,33.79,1.76,2.16,1.18,8.91e-06,2015,8
2015-08-17,Quebec City,5.79,7.57,4.59,21.68,1.83,2.27,0.54,0.0001489664,2015,8
2015-08-19,Vancouver,6.41,7.29,5.58,34.04,1.47,2.13,1.09,4.225760000000001e-05,2015,8
2015-08-21,Calgary,18.38,23.17,11.85,0.44,1.41,2.14,0.64,0.0025214156,2015,8
2015-08-22,Quebec City,15.78,20.28,11.59,0.24,1.41,2.11,0.78,0.00254144,2015,8
2015-08-23,Toronto,17.54,23.0,11.15,0.04,1.26,2.32,0.4,0.0027599616,2015,8
2015-08-23,Ottawa,17.52,22.16,12.75,0.01,1.17,1.93,0.3,0.00292259,2015,8
2015-08-23,Edmonton,16.44,20.4,12.63,0.03,1.32,2.14,0.34,0.00257499,2015,8
2015-08-24,Edmonton,19.37,25.58,11.23,0.31,1.48,2.39,0.4,0.00310464,2015,8
2015-08-24,Winnipeg,18.66,21.6,12.81,0.08,1.29,2.16,0.09,0.0025481324,2015,8
2015-08-25,Halifax,14.55,18.73,9.13,1.54,1.16,1.81,0.35,0.0024618176,2015,8
2015-08-26,Ottawa,16.86,21.31,10.92,0.01,1.27,1.83,0.72,0.0028019376,2015,8
2015-08-26,Edmonton,18.04,21.66,13.83,0.11,1.31,1.72,0.26,0.0025347563999999,2015,8
2015-08-28,Vancouver,14.09,16.64,11.9,20.04,2.73,3.45,1.62,0.00032076,2015,8
2015-08-28,Ottawa,16.27,21.05,9.19,0.1,1.25,1.83,0.11,0.0027599616,2015,8
2015-08-28,Edmonton,19.47,24.91,13.33,0.01,1.52,2.23,0.41,0.0028019376,2015,8
2015-08-28,Quebec City,18.59,21.65,14.82,0.05,1.5,2.29,0.29,0.00250811,2015,8
2015-08-29,Montreal,17.62,21.33,12.98,0.45,1.31,1.73,0.61,0.0024816044,2015,8
2015-08-29,Halifax,20.09,26.84,12.83,0.49,1.49,2.69,0.12,0.0024816044,2015,8
2015-08-30,Toronto,21.31,25.81,15.83,0.07,1.45,2.27,0.62,0.0024684044,2015,8
2015-08-30,Vancouver,20.86,25.16,15.66,0.12,1.12,1.74,0.51,0.0024816044,2015,8
2015-09-02,Hamilton,12.83,14.5,11.98,27.07,1.71,2.23,0.95,4.92032e-05,2015,9
2015-09-03,Toronto,12.32,13.71,10.55,31.39,2.53,3.48,1.46,5.832000000000001e-05,2015,9
2015-09-03,Calgary,10.23,11.02,9.28,25.97,2.93,4.62,1.74,3.528000000000001e-05,2015,9
2015-09-03,Hamilton,11.9,13.49,10.37,23.68,1.47,1.84,0.61,3.2643200000000006e-05,2015,9
2015-09-06,Montreal,7.4,9.16,5.58,33.4,2.89,4.16,1.36,8.652800000000003e-06,2015,9
2015-09-06,Calgary,6.5,8.42,5.42,30.05,2.71,3.61,2.03,3.329280000000001e-05,2015,9
2015-09-06,Winnipeg,5.46,7.18,4.61,28.37,1.82,2.91,0.59,4.8672000000000014e-06,2015,9
2015-09-09,Calgary,5.6,6.4,4.92,26.63,2.04,3.01,0.94,3.4848000000000005e-06,2015,9
2015-09-09,Ottawa,6.9,9.25,5.56,31.37,1.54,2.6,0.48,1.19072e-05,2015,9
2015-09-12,Ottawa,2.13,3.18,1.62,21.7,2.01,2.58,1.55,1.1552000000000002e-06,2015,9
2015-09-12,Edmonton,1.4,2.82,0.79,33.28,2.51,3.04,2.05,1.1552000000000002e-06,2015,9
2015-09-12,Quebec City,1.7,2.25,1.32,24.96,2.43,3.54,1.39,9.248e-07,2015,9
2015-09-13,Hamilton,2.42,3.31,1.62,47.91,2.35,3.04,1.76,2.508800000000001e-06,2015,9
2015-09-14,Vancouver,2.9,3.73,1.71,41.56,3.31,5.18,2.28,2.8800000000000004e-06,2015,9
2015-09-14,Edmonton,2.4,2.89,1.77,35.81,2.07,2.55,1.59,8.192000000000001e-07,2015,9
2015-09-14,Hamilton,-1.65,0.42,-4.85,26.38,3.02,3.83,2.26,6.195200000000001e-06,2015,9
2015-09-15,Quebec City,-0.69,1.7,-3.08,25.54,3.09,4.36,2.31,7.372799999999999e-06,2015,9
2015-09-15,Halifax,2.17,2.96,1.82,27.77,2.93,3.75,1.77,1.03968e-05,2015,9
2015-09-16,Toronto,1.76,2.07,1.09,22.4,2.35,3.02,1.73,2.3328000000000003e-06,2015,9
2015-09-16,Vancouver,3.17,4.38,1.78,43.09,2.47,3.17,1.82,2.8800000000000004e-06,2015,9
2015-09-16,Winnipeg,2.42,3.17,1.57,24.24,1.98,3.24,0.43,2.0995200000000005e-05,2015,9
2015-09-16,Hamilton,1.47,2.48,0.27,22.19,2.13,3.07,1.26,2.2044800000000003e-05,2015,9
2015-09-16,Halifax,2.76,3.64,1.85,83.18,2.99,4.53,1.68,2.3328000000000003e-06,2015,9
2015-09-17,Toronto,1.47,3.63,-1.52,21.6,3.08,4.01,2.14,5.832000000000001e-05,2015,9
2015-09-17,Quebec City,1.0,1.88,-0.18,22.49,1.92,3.2,0.93,8.652800000000003e-06,2015,9
2015-09-22,Quebec City,3.11,3.85,2.42,32.36,2.26,2.79,1.55,7.490880000000001e-05,2015,9
2015-10-07,Vancouver,15.36,16.94,13.5,22.86,1.81,2.61,0.87,0.0001692799999999,2015,10
2015-10-07,Montreal,15.2,16.82,11.92,24.49,2.56,4.19,1.74,0.0001059968,2015,10
2015-10-10,Edmonton,12.39,13.98,11.1,52.7,3.29,4.79,1.86,2.8275199999999997e-05,2015,10
2015-10-10,Quebec City,11.42,12.59,10.59,28.92,2.72,4.05,1.84,0.00010368,2015,10
2015-10-10,Winnipeg,10.4,12.65,8.51,40.42,3.11,5.08,1.63,0.00017672,2015,10
2015-10-12,Vancouver,10.99,11.67,9.46,41.04,2.51,3.7,1.49,1.1520000000000002e-05,2015,10
2015-10-12,Montreal,8.43,10.06,6.45,22.45,2.57,3.42,1.67,0.00011552,2015,10
2015-10-12,Edmonton,5.77,8.42,2.92,29.79,3.77,5.33,2.49,6.543679999999999e-05,2015,10
2015-10-14,Quebec City,7.12,8.65,4.86,47.51,2.2,2.82,1.69,5.379200000000001e-06,2015,10
2015-10-14,Winnipeg,9.84,11.33,8.01,39.67,3.05,4.17,1.45,8.9888e-06,2015,10
2015-10-15,Edmonton,0.56,1.88,-1.01,24.08,2.8,4.26,1.74,1.03968e-05,2015,10
2015-10-15,Halifax,2.62,4.12,2.06,27.92,2.67,4.09,1.28,9.68e-06,2015,10
2015-10-16,Winnipeg,2.36,2.91,1.96,21.34,2.5,4.02,1.37,3.92e-06,2015,10
2015-10-17,Toronto,2.95,3.78,2.5,21.7,2.77,4.03,1.64,8.652800000000003e-06,2015,10
2015-10-18,Toronto,3.11,4.24,2.23,48.67,2.44,3.11,1.87,5.644799999999999e-06,2015,10
2015-10-18,Halifax,2.12,3.03,1.46,22.16,2.68,3.76,1.71,1.6928000000000003e-06,2015,10
2015-10-19,Vancouver,1.74,2.65,1.14,43.75,2.82,4.4,1.35,5.12e-06,2015,10
2015-10-19,Montreal,1.82,2.85,0.91,25.58,2.33,3.29,1.63,2.508800000000001e-06,2015,10
2015-10-19,Ottawa,0.7,1.7,-1.91,22.37,2.29,3.3,1.71,2e-06,2015,10
2015-10-20,Calgary,1.02,1.67,0.24,38.86,3.41,3.99,2.69,2.508800000000001e-06,2015,10
2015-10-20,Edmonton,2.25,2.94,1.52,40.78,2.84,3.48,2.03,4.8672000000000014e-06,2015,10
2015-10-20,Quebec City,2.37,2.74,1.98,44.72,2.82,4.22,1.93,1.1552000000000002e-06,2015,10
2015-10-20,Hamilton,2.23,3.18,1.7,24.47,2.33,5.08,0.97,6.771200000000001e-06,2015,10
2015-10-20,Halifax,1.47,2.32,0.79,41.17,3.67,5.8,1.4,2e-06,2015,10
2015-10-21,Edmonton,2.46,2.79,2.11,31.14,2.91,4.82,1.5,7.372799999999999e-06,2015,10
2015-10-21,Quebec City,3.15,4.09,1.8,44.73,2.42,4.54,1.01,8.9888e-06,2015,10
2015-10-23,Edmonton,2.19,2.54,1.84,24.56,1.74,3.47,0.63,1.1520000000000002e-05,2015,10
2015-10-23,Quebec City,2.02,2.33,1.63,30.65,1.74,2.3,1.15,3.2768000000000005e-06,2015,10
2015-10-25,Quebec City,1.79,2.71,0.55,31.54,2.11,2.43,1.75,2.8275199999999997e-05,2015,10
2015-10-28,Ottawa,0.12,0.75,-0.75,19.89,2.05,2.6,1.23,6.272e-05,2015,10
2015-10-29,Vancouver,1.45,2.56,-1.89,27.73,3.72,5.0,2.32,7.393280000000001e-05,2015,10
2015-11-04,Vancouver,8.32,10.68,6.69,24.92,3.04,4.1,1.95,0.000141512,2015,11
2015-11-15,Ottawa,9.16,12.09,6.07,73.31,3.02,4.15,1.02,9.248e-06,2015,11
2015-11-16,Calgary,10.43,11.42,8.91,31.75,2.36,3.47,1.54,2.2898000000000003e-05,2015,11
2015-11-16,Quebec City,7.94,10.37,6.53,34.98,3.29,4.69,1.93,3.3799999999999995e-05,2015,11
2015-11-16,Winnipeg,10.33,12.21,8.22,24.67,2.02,4.54,0.83,3.2768000000000016e-05,2015,11
2015-11-17,Quebec City,5.92,7.64,4.54,25.09,1.89,2.9,0.86,7.938000000000001e-06,2015,11
2015-11-18,Montreal,7.33,8.59,5.91,43.87,2.45,3.09,1.73,1.62e-05,2015,11
2015-11-18,Calgary,8.92,10.0,7.85,66.45,2.56,3.07,2.12,5.4080000000000006e-06,2015,11
2015-11-19,Montreal,5.93,6.81,4.49,34.3,4.35,5.17,2.55,2.888000000000001e-06,2015,11
2015-11-20,Montreal,7.52,9.73,5.44,25.55,2.63,3.47,1.74,7.938000000000001e-06,2015,11
2015-11-20,Edmonton,1.61,2.06,0.95,24.66,2.51,3.49,1.57,4.418e-06,2015,11
2015-11-20,Winnipeg,2.46,3.15,1.74,24.58,3.21,4.63,2.06,5.618000000000001e-06,2015,11
2015-11-20,Halifax,2.93,4.71,1.3,24.1,2.59,3.36,2.12,7.938000000000001e-06,2015,11
2015-11-21,Montreal,5.04,7.02,2.87,55.63,1.54,2.77,0.16,1.152e-06,2015,11
2015-11-21,Calgary,4.23,7.09,1.46,52.33,3.47,4.52,1.72,2.178e-06,2015,11
2015-11-22,Calgary,1.58,2.15,0.74,41.59,2.66,3.15,1.66,3.5279999999999995e-06,2015,11
2015-11-22,Edmonton,2.98,4.67,2.05,42.3,2.15,2.66,1.61,1.8e-06,2015,11
2015-11-22,Quebec City,5.49,6.24,4.93,31.5,1.74,2.27,0.95,1.8e-06,2015,11
2015-11-22,Hamilton,4.86,5.86,3.66,40.9,1.83,2.14,1.37,1.2500000000000003e-06,2015,11
2015-11-22,Halifax,6.07,6.94,4.74,31.74,2.2,3.46,1.39,7.220000000000001e-07,2015,11
2015-11-23,Hamilton,-0.49,1.0,-1.46,29.27,2.5,4.85,1.14,4.608e-06,2015,11
2015-11-24,Quebec City,-0.46,1.14,-2.72,36.41,2.23,3.29,0.62,2.7380000000000003e-06,2015,11
2015-11-25,Toronto,1.35,2.04,-0.07,33.12,2.9,3.9,1.44,3.2000000000000003e-06,2015,11
2015-11-26,Vancouver,0.15,1.02,-0.83,34.34,4.05,5.75,3.02,1.152e-06,2015,11
2015-11-26,Edmonton,-1.89,1.29,-7.78,23.17,2.61,4.64,1.9,2.7380000000000003e-06,2015,11
2015-11-27,Toronto,2.89,3.71,2.49,30.29,2.12,3.05,1.42,5.202000000000002e-06,2015,11
2015-11-27,Vancouver,3.72,4.39,2.88,37.91,2.02,2.64,1.47,1.682e-06,2015,11
2015-11-28,Halifax,1.44,2.06,0.77,35.78,2.25,3.27,1.22,7.441999999999999e-06,2015,11
2015-12-01,Winnipeg,1.89,2.81,0.87,30.97,2.21,3.9,1.35,4.992800000000001e-05,2015,12
2015-12-03,Montreal,1.93,2.36,1.49,30.98,2.69,3.17,1.99,2.1632e-05,2015,12
2015-12-05,Montreal,3.36,4.94,2.22,41.73,3.18,4.62,1.74,5.1842e-05,2015,12
2015-12-05,Calgary,1.86,2.45,1.26,26.82,3.74,4.31,2.91,5.511200000000001e-05,2015,12
2015-12-06,Winnipeg,2.37,3.36,1.44,25.49,3.15,4.06,1.87,0.000116162,2015,12
2015-12-08,Ottawa,4.83,5.61,3.79,27.84,1.68,2.08,0.93,6.919200000000001e-05,2015,12
2015-12-09,Vancouver,4.06,5.81,2.85,22.38,2.85,3.91,1.52,8.000000000000002e-05,2015,12
2015-12-09,Winnipeg,5.36,7.73,3.17,20.55,4.16,5.34,2.17,0.0002842579999999,2015,12
2015-12-11,Halifax,10.45,11.39,9.68,21.17,2.19,3.44,0.97,7.605e-05,2015,12
2015-12-25,Halifax,6.24,8.37,4.39,35.9,2.75,5.09,0.59,5.832e-06,2015,12
2015-12-26,Montreal,6.2,7.71,4.66,37.95,2.02,3.42,0.95,3.872e-06,2015,12
2015-12-26,Winnipeg,2.67,5.3,0.76,26.09,2.64,4.82,1.31,6.728e-06,2015,12
2015-12-28,Halifax,1.67,2.46,0.67,21.17,2.03,3.28,0.61,5.832e-06,2015,12
2015-12-30,Calgary,1.29,2.0,-0.35,21.85,3.04,4.36,1.68,3.2000000000000003e-06,2015,12
2015-12-31,Quebec City,-4.28,0.25,-10.79,20.74,2.73,4.53,1.71,1.682e-06,2015,12
2015-12-31,Winnipeg,2.15,3.7,0.55,52.27,2.2,2.98,1.34,1.922e-06,2015,12
2015-12-31,Hamilton,2.7,3.6,2.29,29.09,2.15,3.33,0.63,9.68e-07,2015,12
2015-12-31,Halifax,2.94,3.76,1.71,33.78,3.02,4.54,1.74,8.978000000000001e-06,2015,12
2016-01-01,Toronto,2.52,3.27,1.52,33.21,2.23,4.64,0.54,2.888000000000001e-06,2016,1
2016-01-01,Calgary,1.7,2.42,0.27,24.94,2.22,3.43,1.63,5.202000000000002e-06,2016,1
2016-01-02,Quebec City,2.86,4.02,1.63,46.31,3.19,4.45,2.54,1.152e-06,2016,1
2016-01-02,Winnipeg,3.9,4.71,3.2,34.83,2.29,3.1,1.7,4.418e-06,2016,1
2016-01-05,Vancouver,1.77,2.45,0.47,20.37,2.0,2.68,1.16,5.4080000000000006e-06,2016,1
2016-01-05,Montreal,1.97,2.7,1.24,30.95,2.5,3.14,1.64,1.1552000000000002e-05,2016,1
2016-01-11,Toronto,3.15,4.8,1.25,23.64,3.4,3.88,2.59,5.7122e-05,2016,1
2016-01-11,Calgary,4.91,7.13,2.89,33.95,3.28,5.12,1.24,2.9282e-05,2016,1
2016-01-12,Toronto,2.92,4.16,-0.17,20.57,2.67,3.44,1.88,4.9298e-05,2016,1
