Date,City,Solar Irradiance (W/m²)
2014-07-08,Calgary,1.03
2014-07-08,Ottawa,2.96
2014-07-08,Edmonton,3.24
2014-07-08,Quebec City,1.45
2014-07-08,Winnipeg,2.34
2014-07-08,Hamilton,2.59
2014-07-08,Halifax,2.16
2014-07-09,Toronto,2.72
2014-07-09,Vancouver,2.78
2014-07-09,Montreal,3.79
2014-07-09,Calgary,3.49
2014-07-09,Ottawa,0.99
2014-07-09,Edmonton,1.45
2014-07-09,Quebec City,4.68
2014-07-09,Winnipeg,1.56
2014-07-09,Hamilton,1.13
2014-07-09,Halifax,1.5
2014-07-10,Toronto,3.26
2014-07-10,Vancouver,4.45
2014-07-10,Montreal,4.17
2014-07-10,Calgary,4.18
2014-07-10,Ottawa,5.05
2014-07-10,Edmonton,1.91
2014-07-10,Quebec City,3.13
2014-07-10,Winnipeg,5.91
2014-07-10,Hamilton,3.02
2014-07-10,Halifax,6.04
2014-07-11,Toronto,6.12
2014-07-11,Vancouver,6.01
2014-07-11,Montreal,2.26
2014-07-11,Calgary,5.21
2014-07-11,Ottawa,0.96
2014-07-11,Edmonton,3.21
2014-07-11,Quebec City,5.77
2014-07-11,Winnipeg,3.65
2014-07-11,Hamilton,4.92
2014-07-11,Halifax,5.48
2014-07-12,Toronto,1.46
2014-07-12,Vancouver,4.18
2014-07-12,Montreal,3.7
2014-07-12,Calgary,3.36
2014-07-12,Ottawa,3.75
2014-07-12,Edmonton,4.16
2014-07-12,Quebec City,1.57
2014-07-12,Winnipeg,2.59
2014-07-12,Hamilton,6.23
2014-07-12,Halifax,1.1
2014-07-13,Toronto,4.29
2014-07-13,Vancouver,2.21
2014-07-13,Montreal,6.47
2014-07-13,Calgary,3.04
2014-07-13,Ottawa,0.97
2014-07-13,Edmonton,1.73
2014-07-13,Quebec City,2.81
2014-07-13,Winnipeg,5.65
2014-07-13,Hamilton,2.42
2014-07-13,Halifax,5.72
2014-07-14,Toronto,5.36
2014-07-14,Vancouver,1.81
2014-07-14,Montreal,3.84
2014-07-14,Calgary,7.46
2014-07-14,Ottawa,3.03
2014-07-14,Edmonton,3.99
2014-07-14,Quebec City,2.4
2014-07-14,Winnipeg,3.58
2014-07-14,Hamilton,2.84
2014-07-14,Halifax,2.75
2014-07-15,Toronto,7.3
2014-07-15,Vancouver,5.75
2014-07-15,Montreal,4.24
2014-07-15,Calgary,7.88
2014-07-15,Ottawa,3.59
2014-07-15,Edmonton,2.69
2014-07-15,Quebec City,5.66
2014-07-15,Winnipeg,2.34
2014-07-15,Hamilton,2.3
2014-07-15,Halifax,4.01
2014-07-16,Toronto,5.06
2014-07-16,Vancouver,4.63
2014-07-16,Montreal,7.06
2014-07-16,Calgary,4.65
2014-07-16,Ottawa,5.85
2014-07-16,Edmonton,4.1
2014-07-16,Quebec City,8.31
2014-07-16,Winnipeg,2.71
2014-07-16,Hamilton,4.27
2014-07-16,Halifax,6.03
2014-07-17,Toronto,3.94
2014-07-17,Vancouver,6.47
2014-07-17,Montreal,7.01
2014-07-17,Calgary,1.69
2014-07-17,Ottawa,3.51
2014-07-17,Edmonton,4.58
2014-07-17,Quebec City,6.74
2014-07-17,Winnipeg,4.7
2014-07-17,Hamilton,6.22
2014-07-17,Halifax,8.25
2014-07-18,Toronto,3.06
2014-07-18,Vancouver,2.1
2014-07-18,Montreal,7.65
2014-07-18,Calgary,8.41
2014-07-18,Ottawa,8.48
2014-07-18,Edmonton,6.75
2014-07-18,Quebec City,2.42
2014-07-18,Winnipeg,7.87
2014-07-18,Hamilton,7.98
2014-07-18,Halifax,1.85
2014-07-19,Toronto,7.41
2014-07-19,Vancouver,2.55
2014-07-19,Montreal,4.4
2014-07-19,Calgary,5.93
2014-07-19,Ottawa,7.06
2014-07-19,Edmonton,6.29
2014-07-19,Quebec City,3.41
2014-07-19,Winnipeg,7.56
2014-07-19,Hamilton,8.45
2014-07-19,Halifax,8.45
2014-07-20,Toronto,5.01
2014-07-20,Vancouver,7.08
2014-07-20,Montreal,7.62
2014-07-20,Calgary,7.3
2014-07-20,Ottawa,4.97
2014-07-20,Edmonton,6.64
2014-07-20,Quebec City,8.42
2014-07-20,Winnipeg,7.63
2014-07-20,Hamilton,3.77
2014-07-20,Halifax,7.54
2014-07-21,Toronto,7.43
2014-07-21,Vancouver,6.69
2014-07-21,Montreal,5.08
2014-07-21,Calgary,7.89
2014-07-21,Ottawa,8.03
2014-07-21,Edmonton,7.0
2014-07-21,Quebec City,7.52
2014-07-21,Winnipeg,5.32
2014-07-21,Hamilton,4.56
2014-07-21,Halifax,6.45
2014-07-22,Toronto,8.18
2014-07-22,Vancouver,7.25
2014-07-22,Montreal,5.65
2014-07-22,Calgary,4.19
2014-07-22,Ottawa,6.22
2014-07-22,Edmonton,4.36
2014-07-22,Quebec City,5.84
2014-07-22,Winnipeg,6.47
2014-07-22,Hamilton,4.2
2014-07-22,Halifax,7.14
2014-07-23,Toronto,7.13
2014-07-23,Vancouver,6.99
2014-07-23,Montreal,6.66
2014-07-23,Calgary,5.95
2014-07-23,Ottawa,5.96
2014-07-23,Edmonton,5.99
2014-07-23,Quebec City,5.02
2014-07-23,Winnipeg,7.1
2014-07-23,Hamilton,7.26
2014-07-23,Halifax,7.38
2014-07-24,Toronto,6.58
2014-07-24,Vancouver,6.99
2014-07-24,Montreal,6.52
2014-07-24,Calgary,3.44
2014-07-24,Ottawa,5.42
2014-07-24,Edmonton,4.83
2014-07-24,Quebec City,6.05
2014-07-24,Winnipeg,6.61
2014-07-24,Hamilton,6.3
2014-07-24,Halifax,4.18
2014-07-25,Toronto,6.27
2014-07-25,Vancouver,6.94
2014-07-25,Montreal,4.43
2014-07-25,Calgary,5.63
2014-07-25,Ottawa,4.66
2014-07-25,Edmonton,4.77
2014-07-25,Quebec City,6.26
2014-07-25,Winnipeg,5.96
2014-07-25,Hamilton,5.67
2014-07-25,Halifax,5.87
2014-07-26,Toronto,5.73
2014-07-26,Vancouver,6.22
2014-07-26,Montreal,6.18
2014-07-26,Calgary,5.75
2014-07-26,Ottawa,1.49
2014-07-26,Edmonton,5.97
2014-07-26,Quebec City,6.25
2014-07-26,Winnipeg,6.15
2014-07-26,Hamilton,6.02
2014-07-26,Halifax,2.21
2014-07-27,Toronto,3.82
2014-07-27,Vancouver,3.85
2014-07-27,Montreal,3.64
2014-07-27,Calgary,6.28
2014-07-27,Ottawa,3.0
2014-07-27,Edmonton,4.05
2014-07-27,Quebec City,3.79
2014-07-27,Winnipeg,5.13
2014-07-27,Hamilton,3.64
2014-07-27,Halifax,4.53
2014-07-28,Toronto,3.47
2014-07-28,Vancouver,2.49
2014-07-28,Montreal,4.99
2014-07-28,Calgary,1.79
2014-07-28,Ottawa,2.31
2014-07-28,Edmonton,5.66
2014-07-28,Quebec City,5.35
2014-07-28,Winnipeg,5.17
2014-07-28,Hamilton,4.63
2014-07-28,Halifax,4.86
2014-07-29,Toronto,4.51
2014-07-29,Vancouver,3.35
2014-07-29,Montreal,4.18
2014-07-29,Calgary,4.04
2014-07-29,Ottawa,3.9
2014-07-29,Edmonton,3.93
2014-07-29,Quebec City,1.35
2014-07-29,Winnipeg,2.95
2014-07-29,Hamilton,3.12
2014-07-29,Halifax,3.04
2014-07-30,Toronto,1.07
2014-07-30,Vancouver,1.22
2014-07-30,Montreal,2.71
2014-07-30,Calgary,4.22
2014-07-30,Ottawa,1.87
2014-07-30,Edmonton,2.35
2014-07-30,Quebec City,4.57
2014-07-30,Winnipeg,4.62
2014-07-30,Hamilton,4.4
2014-07-30,Halifax,4.39
2014-07-31,Toronto,3.23
2014-07-31,Vancouver,4.31
2014-07-31,Montreal,3.02
2014-07-31,Calgary,3.72
2014-07-31,Ottawa,0.75
2014-07-31,Edmonton,1.08
2014-07-31,Quebec City,3.63
2014-07-31,Winnipeg,3.89
2014-07-31,Hamilton,3.49
2014-07-31,Halifax,2.97
2014-08-01,Toronto,1.32
2014-08-01,Vancouver,3.01
2014-08-01,Montreal,2.5
2014-08-01,Calgary,1.76
2014-08-01,Ottawa,2.66
2014-08-01,Edmonton,0.84
2014-08-01,Quebec City,3.47
2014-08-01,Winnipeg,1.83
2014-08-01,Hamilton,0.63
2014-08-01,Halifax,0.33
2014-08-02,Toronto,1.19
2014-08-02,Vancouver,0.98
2014-08-02,Montreal,2.0
2014-08-02,Calgary,1.93
2014-08-02,Ottawa,1.81
2014-08-02,Edmonton,2.34
2014-08-02,Quebec City,1.44
2014-08-02,Winnipeg,2.82
2014-08-02,Hamilton,1.08
2014-08-02,Halifax,1.34
2014-08-03,Toronto,0.65
2014-08-03,Vancouver,2.32
2014-08-03,Montreal,1.63
2014-08-03,Calgary,1.04
2014-08-03,Ottawa,0.93
2014-08-03,Edmonton,1.77
2014-08-03,Quebec City,2.29
2014-08-03,Winnipeg,0.46
2014-08-03,Hamilton,1.05
2014-08-03,Halifax,1.4
2014-08-04,Toronto,0.65
2014-08-04,Vancouver,1.34
2014-08-04,Montreal,2.16
2014-08-04,Calgary,1.92
2014-08-04,Ottawa,0.79
2014-08-04,Edmonton,2.19
2014-08-04,Quebec City,0.47
2014-08-04,Winnipeg,1.4
2014-08-04,Hamilton,0.87
2014-08-04,Halifax,1.29
2014-08-05,Toronto,0.18
2014-08-05,Vancouver,0.94
2014-08-05,Montreal,1.44
2014-08-05,Calgary,1.27
2014-08-05,Ottawa,1.0
2014-08-05,Edmonton,1.14
2014-08-05,Quebec City,1.3
2014-08-05,Winnipeg,1.25
2014-08-05,Hamilton,0.57
2014-08-05,Halifax,0.94
2014-08-06,Toronto,1.58
2014-08-06,Vancouver,1.22
2014-08-06,Montreal,1.59
2014-08-06,Calgary,0.44
2014-08-06,Ottawa,1.65
2014-08-06,Edmonton,1.5
2014-08-06,Quebec City,0.95
2014-08-06,Winnipeg,1.35
2014-08-06,Hamilton,0.96
2014-08-06,Halifax,1.5
2014-08-07,Toronto,1.69
2014-08-07,Vancouver,1.88
2014-08-07,Montreal,1.78
2014-08-07,Calgary,1.2
2014-08-07,Ottawa,0.98
2014-08-07,Edmonton,0.58
2014-08-07,Quebec City,1.06
2014-08-07,Winnipeg,1.7
2014-08-07,Hamilton,0.58
2014-08-07,Halifax,1.2
2014-08-08,Toronto,0.79
2014-08-08,Vancouver,0.86
2014-08-08,Montreal,1.16
2014-08-08,Calgary,0.75
2014-08-08,Ottawa,0.85
2014-08-08,Edmonton,1.08
2014-08-08,Quebec City,1.32
2014-08-08,Winnipeg,1.36
2014-08-08,Hamilton,1.53
2014-08-08,Halifax,1.39
2014-08-09,Toronto,0.58
2014-08-09,Vancouver,0.42
2014-08-09,Montreal,1.43
2014-08-09,Calgary,0.68
2014-08-09,Ottawa,0.94
2014-08-09,Edmonton,0.9
2014-08-09,Quebec City,1.46
2014-08-09,Winnipeg,2.25
2014-08-09,Hamilton,0.35
2014-08-09,Halifax,1.19
2014-08-10,Toronto,2.6
2014-08-10,Vancouver,0.89
2014-08-10,Montreal,1.59
2014-08-10,Calgary,1.39
2014-08-10,Ottawa,1.72
2014-08-10,Edmonton,0.54
2014-08-10,Quebec City,0.8
2014-08-10,Winnipeg,1.17
2014-08-10,Hamilton,1.39
2014-08-10,Halifax,2.24
2014-08-11,Toronto,1.73
2014-08-11,Vancouver,1.17
2014-08-11,Montreal,1.05
2014-08-11,Calgary,0.56
2014-08-11,Ottawa,2.58
2014-08-11,Edmonton,0.69
2014-08-11,Quebec City,2.72
2014-08-11,Winnipeg,0.47
2014-08-11,Hamilton,0.95
2014-08-11,Halifax,2.35
2014-08-12,Toronto,1.29
2014-08-12,Vancouver,1.77
2014-08-12,Montreal,2.26
2014-08-12,Calgary,2.55
2014-08-12,Ottawa,1.38
2014-08-12,Edmonton,2.66
2014-08-12,Quebec City,2.74
2014-08-12,Winnipeg,2.71
2014-08-12,Hamilton,3.3
2014-08-12,Halifax,1.07
2014-08-13,Toronto,2.16
2014-08-13,Vancouver,2.38
2014-08-13,Montreal,3.94
2014-08-13,Calgary,3.9
2014-08-13,Ottawa,3.78
2014-08-13,Edmonton,3.2
2014-08-13,Quebec City,1.17
2014-08-13,Winnipeg,0.99
2014-08-13,Hamilton,2.49
2014-08-13,Halifax,2.25
2014-08-14,Toronto,2.71
2014-08-14,Vancouver,3.29
2014-08-14,Montreal,0.82
2014-08-14,Calgary,1.06
2014-08-14,Ottawa,3.16
2014-08-14,Edmonton,4.7
2014-08-14,Quebec City,1.54
2014-08-14,Winnipeg,4.9
2014-08-14,Hamilton,4.77
2014-08-14,Halifax,3.86
2014-08-15,Toronto,2.1
2014-08-15,Vancouver,3.07
2014-08-15,Montreal,2.56
2014-08-15,Calgary,2.6
2014-08-15,Ottawa,2.5
2014-08-15,Edmonton,5.51
2014-08-15,Quebec City,4.58
2014-08-15,Winnipeg,2.29
2014-08-15,Hamilton,3.12
2014-08-15,Halifax,2.29
2014-08-16,Toronto,2.88
2014-08-16,Vancouver,5.99
2014-08-16,Montreal,5.45
2014-08-16,Calgary,1.32
2014-08-16,Ottawa,3.37
2014-08-16,Edmonton,3.93
2014-08-16,Quebec City,2.33
2014-08-16,Winnipeg,5.06
2014-08-16,Hamilton,2.11
2014-08-16,Halifax,2.9
2014-08-17,Toronto,1.75
2014-08-17,Vancouver,1.82
2014-08-17,Montreal,6.28
2014-08-17,Calgary,6.12
2014-08-17,Ottawa,3.89
2014-08-17,Edmonton,3.62
2014-08-17,Quebec City,4.95
2014-08-17,Winnipeg,6.1
2014-08-17,Hamilton,3.68
2014-08-17,Halifax,4.89
2014-08-18,Toronto,5.11
2014-08-18,Vancouver,5.19
2014-08-18,Montreal,4.86
2014-08-18,Calgary,3.03
2014-08-18,Ottawa,1.57
2014-08-18,Edmonton,4.97
2014-08-18,Quebec City,4.68
2014-08-18,Winnipeg,5.13
2014-08-18,Hamilton,3.94
2014-08-18,Halifax,6.01
2014-08-19,Toronto,2.94
2014-08-19,Vancouver,7.17
2014-08-19,Montreal,5.06
2014-08-19,Calgary,6.86
2014-08-19,Ottawa,4.36
2014-08-19,Edmonton,3.29
2014-08-19,Quebec City,7.06
2014-08-19,Winnipeg,2.44
2014-08-19,Hamilton,6.67
2014-08-19,Halifax,4.27
2014-08-20,Toronto,2.15
2014-08-20,Vancouver,2.59
2014-08-20,Montreal,5.24
2014-08-20,Calgary,3.0
2014-08-20,Ottawa,7.52
2014-08-20,Edmonton,6.05
2014-08-20,Quebec City,6.28
2014-08-20,Winnipeg,6.98
2014-08-20,Hamilton,5.13
2014-08-20,Halifax,4.61
2014-08-21,Toronto,4.97
2014-08-21,Vancouver,3.09
2014-08-21,Montreal,3.56
2014-08-21,Calgary,4.95
2014-08-21,Ottawa,8.02
2014-08-21,Edmonton,2.79
2014-08-21,Quebec City,2.81
2014-08-21,Winnipeg,7.21
2014-08-21,Hamilton,3.86
2014-08-21,Halifax,1.47
2014-08-22,Toronto,4.37
2014-08-22,Vancouver,8.03
2014-08-22,Montreal,8.27
2014-08-22,Calgary,6.92
2014-08-22,Ottawa,6.58
2014-08-22,Edmonton,7.23
2014-08-22,Quebec City,7.1
2014-08-22,Winnipeg,7.52
2014-08-22,Hamilton,6.09
2014-08-22,Halifax,2.49
2014-08-23,Toronto,3.7
2014-08-23,Vancouver,4.84
2014-08-23,Montreal,7.43
2014-08-23,Calgary,8.05
2014-08-23,Ottawa,5.79
2014-08-23,Edmonton,5.27
2014-08-23,Quebec City,7.11
2014-08-23,Winnipeg,6.94
2014-08-23,Hamilton,7.33
2014-08-23,Halifax,8.39
2014-08-24,Toronto,8.23
2014-08-24,Vancouver,7.9
2014-08-24,Montreal,6.69
2014-08-24,Calgary,7.0
2014-08-24,Ottawa,8.4
2014-08-24,Edmonton,8.85
2014-08-24,Quebec City,8.48
2014-08-24,Winnipeg,8.6
2014-08-24,Hamilton,8.25
2014-08-24,Halifax,8.41
2014-08-25,Toronto,8.05
2014-08-25,Vancouver,7.36
2014-08-25,Montreal,7.6
2014-08-25,Calgary,7.51
2014-08-25,Ottawa,4.66
2014-08-25,Edmonton,2.91
2014-08-25,Quebec City,5.64
2014-08-25,Winnipeg,6.22
2014-08-25,Hamilton,7.51
2014-08-25,Halifax,5.84
2014-08-26,Toronto,7.89
2014-08-26,Vancouver,7.89
2014-08-26,Montreal,7.58
2014-08-26,Calgary,7.81
2014-08-26,Ottawa,7.42
2014-08-26,Edmonton,7.47
2014-08-26,Quebec City,7.98
2014-08-26,Winnipeg,7.15
2014-08-26,Hamilton,7.73
2014-08-26,Halifax,7.26
2014-08-27,Toronto,6.52
2014-08-27,Vancouver,7.38
2014-08-27,Montreal,7.16
2014-08-27,Calgary,3.03
2014-08-27,Ottawa,6.14
2014-08-27,Edmonton,5.78
2014-08-27,Quebec City,6.79
2014-08-27,Winnipeg,7.41
2014-08-27,Hamilton,2.2
2014-08-27,Halifax,7.84
2014-08-28,Toronto,7.34
2014-08-28,Vancouver,3.56
2014-08-28,Montreal,6.97
2014-08-28,Calgary,5.24
2014-08-28,Ottawa,3.87
2014-08-28,Edmonton,6.06
2014-08-28,Quebec City,7.17
2014-08-28,Winnipeg,7.2
2014-08-28,Hamilton,6.88
2014-08-28,Halifax,5.8
2014-08-29,Toronto,6.47
2014-08-29,Vancouver,6.34
2014-08-29,Montreal,6.62
2014-08-29,Calgary,7.12
2014-08-29,Ottawa,6.27
2014-08-29,Edmonton,3.74
2014-08-29,Quebec City,4.79
2014-08-29,Winnipeg,3.81
2014-08-29,Hamilton,6.99
2014-08-29,Halifax,6.91
2014-08-30,Toronto,6.75
2014-08-30,Vancouver,6.72
2014-08-30,Montreal,5.84
2014-08-30,Calgary,6.54
2014-08-30,Ottawa,5.06
2014-08-30,Edmonton,7.0
2014-08-30,Quebec City,7.04
2014-08-30,Winnipeg,7.01
2014-08-30,Hamilton,5.96
2014-08-30,Halifax,2.78
2014-08-31,Toronto,4.47
2014-08-31,Vancouver,5.63
2014-08-31,Montreal,6.68
2014-08-31,Calgary,6.51
2014-08-31,Ottawa,5.64
2014-08-31,Edmonton,5.94
2014-08-31,Quebec City,6.09
2014-08-31,Winnipeg,5.79
2014-08-31,Hamilton,6.13
2014-08-31,Halifax,3.66
2014-09-01,Toronto,3.61
2014-09-01,Vancouver,4.28
2014-09-01,Montreal,4.09
2014-09-01,Calgary,5.62
2014-09-01,Ottawa,6.27
2014-09-01,Edmonton,5.16
2014-09-01,Quebec City,3.51
2014-09-01,Winnipeg,5.63
2014-09-01,Hamilton,5.92
2014-09-01,Halifax,2.98
2014-09-02,Toronto,5.65
2014-09-02,Vancouver,2.5
2014-09-02,Montreal,2.07
2014-09-02,Calgary,2.29
2014-09-02,Ottawa,2.85
2014-09-02,Edmonton,4.84
2014-09-02,Quebec City,4.7
2014-09-02,Winnipeg,3.55
2014-09-02,Hamilton,5.47
2014-09-02,Halifax,4.16
2014-09-03,Toronto,3.89
2014-09-03,Vancouver,4.2
2014-09-03,Montreal,5.36
2014-09-03,Calgary,5.41
2014-09-03,Ottawa,5.37
2014-09-03,Edmonton,5.43
2014-09-03,Quebec City,4.49
2014-09-03,Winnipeg,5.11
2014-09-03,Hamilton,3.31
2014-09-03,Halifax,4.31
2014-09-04,Toronto,4.13
2014-09-04,Vancouver,4.17
2014-09-04,Montreal,3.93
2014-09-04,Calgary,3.05
2014-09-04,Ottawa,2.69
2014-09-04,Edmonton,3.57
2014-09-04,Quebec City,2.63
2014-09-04,Winnipeg,2.7
2014-09-04,Hamilton,1.22
2014-09-04,Halifax,3.62
2014-09-05,Toronto,3.25
2014-09-05,Vancouver,3.25
2014-09-05,Montreal,3.23
2014-09-05,Calgary,3.8
2014-09-05,Ottawa,1.52
2014-09-05,Edmonton,3.66
2014-09-05,Quebec City,2.23
2014-09-05,Winnipeg,4.17
2014-09-05,Hamilton,3.3
2014-09-05,Halifax,0.52
2014-09-06,Toronto,3.83
2014-09-06,Vancouver,3.67
2014-09-06,Montreal,0.99
2014-09-06,Calgary,0.95
2014-09-06,Ottawa,2.52
2014-09-06,Edmonton,1.63
2014-09-06,Quebec City,1.03
2014-09-06,Winnipeg,3.16
2014-09-06,Hamilton,2.3
2014-09-06,Halifax,1.8
2014-09-07,Toronto,0.89
2014-09-07,Vancouver,0.92
2014-09-07,Montreal,3.25
2014-09-07,Calgary,1.1
2014-09-07,Ottawa,1.15
2014-09-07,Edmonton,2.78
2014-09-07,Quebec City,1.3
2014-09-07,Winnipeg,1.98
2014-09-07,Hamilton,1.29
2014-09-07,Halifax,3.14
2014-09-08,Toronto,1.9
2014-09-08,Vancouver,2.63
2014-09-08,Montreal,2.69
2014-09-08,Calgary,3.0
2014-09-08,Ottawa,2.74
2014-09-08,Edmonton,2.53
2014-09-08,Quebec City,2.43
2014-09-08,Winnipeg,2.97
2014-09-08,Hamilton,1.39
2014-09-08,Halifax,2.78
2014-09-09,Toronto,0.44
2014-09-09,Vancouver,0.73
2014-09-09,Montreal,1.91
2014-09-09,Calgary,1.52
2014-09-09,Ottawa,1.38
2014-09-09,Edmonton,2.17
2014-09-09,Quebec City,1.01
2014-09-09,Winnipeg,0.29
2014-09-09,Hamilton,1.0
2014-09-09,Halifax,1.08
2014-09-10,Toronto,0.72
2014-09-10,Vancouver,0.64
2014-09-10,Montreal,0.65
2014-09-10,Calgary,2.3
2014-09-10,Ottawa,2.16
2014-09-10,Edmonton,0.33
2014-09-10,Quebec City,0.89
2014-09-10,Winnipeg,2.33
2014-09-10,Hamilton,1.68
2014-09-10,Halifax,0.6
2014-09-11,Toronto,1.16
2014-09-11,Vancouver,2.11
2014-09-11,Montreal,2.25
2014-09-11,Calgary,2.25
2014-09-11,Ottawa,0.76
2014-09-11,Edmonton,1.35
2014-09-11,Quebec City,1.8
2014-09-11,Winnipeg,0.6
2014-09-11,Hamilton,1.18
2014-09-11,Halifax,0.7
2014-09-12,Toronto,1.76
2014-09-12,Vancouver,0.84
2014-09-12,Montreal,1.22
2014-09-12,Calgary,2.08
2014-09-12,Ottawa,0.8
2014-09-12,Edmonton,0.77
2014-09-12,Quebec City,0.79
2014-09-12,Winnipeg,1.19
2014-09-12,Hamilton,1.09
2014-09-12,Halifax,0.2
2014-09-13,Toronto,0.87
2014-09-13,Vancouver,0.94
2014-09-13,Montreal,0.92
2014-09-13,Calgary,0.5
2014-09-13,Ottawa,1.76
2014-09-13,Edmonton,0.45
2014-09-13,Quebec City,1.14
2014-09-13,Winnipeg,0.81
2014-09-13,Hamilton,0.95
2014-09-13,Halifax,0.44
2014-09-14,Toronto,0.62
2014-09-14,Vancouver,0.64
2014-09-14,Montreal,1.06
2014-09-14,Calgary,1.45
2014-09-14,Ottawa,1.47
2014-09-14,Edmonton,2.0
2014-09-14,Quebec City,1.03
2014-09-14,Winnipeg,0.92
2014-09-14,Hamilton,0.64
2014-09-14,Halifax,0.8
2014-09-15,Toronto,1.02
2014-09-15,Vancouver,1.03
2014-09-15,Montreal,1.88
2014-09-15,Calgary,1.09
2014-09-15,Ottawa,1.53
2014-09-15,Edmonton,1.54
2014-09-15,Quebec City,1.59
2014-09-15,Winnipeg,1.24
2014-09-15,Hamilton,1.46
2014-09-15,Halifax,2.56
2014-09-16,Toronto,1.51
2014-09-16,Vancouver,2.32
2014-09-16,Montreal,0.58
2014-09-16,Calgary,1.96
2014-09-16,Ottawa,2.05
2014-09-16,Edmonton,1.35
2014-09-16,Quebec City,2.37
2014-09-16,Winnipeg,1.42
2014-09-16,Hamilton,1.35
2014-09-16,Halifax,1.65
2014-09-17,Toronto,2.9
2014-09-17,Vancouver,2.96
2014-09-17,Montreal,1.03
2014-09-17,Calgary,1.76
2014-09-17,Ottawa,2.31
2014-09-17,Edmonton,3.45
2014-09-17,Quebec City,2.37
2014-09-17,Winnipeg,3.19
2014-09-17,Hamilton,3.03
2014-09-17,Halifax,2.42
2014-09-18,Toronto,1.54
2014-09-18,Vancouver,3.08
2014-09-18,Montreal,1.92
2014-09-18,Calgary,1.25
2014-09-18,Ottawa,2.92
2014-09-18,Edmonton,1.45
2014-09-18,Quebec City,1.69
2014-09-18,Winnipeg,2.48
2014-09-18,Hamilton,3.48
2014-09-18,Halifax,1.03
2014-09-19,Toronto,1.43
2014-09-19,Vancouver,2.54
2014-09-19,Montreal,4.38
2014-09-19,Calgary,4.2
2014-09-19,Ottawa,2.74
2014-09-19,Edmonton,1.49
2014-09-19,Quebec City,2.22
2014-09-19,Winnipeg,3.45
2014-09-19,Hamilton,4.08
2014-09-19,Halifax,4.42
2014-09-20,Toronto,4.11
2014-09-20,Vancouver,3.09
2014-09-20,Montreal,4.18
2014-09-20,Calgary,3.31
2014-09-20,Ottawa,4.59
2014-09-20,Edmonton,3.94
2014-09-20,Quebec City,2.74
2014-09-20,Winnipeg,4.91
2014-09-20,Hamilton,5.41
2014-09-20,Halifax,5.08
2014-09-21,Toronto,5.47
2014-09-21,Vancouver,2.4
2014-09-21,Montreal,4.32
2014-09-21,Calgary,2.05
2014-09-21,Ottawa,5.66
2014-09-21,Edmonton,5.49
2014-09-21,Quebec City,5.72
2014-09-21,Winnipeg,5.62
2014-09-21,Hamilton,4.25
2014-09-21,Halifax,4.04
2014-09-22,Toronto,5.08
2014-09-22,Vancouver,2.06
2014-09-22,Montreal,2.64
2014-09-22,Calgary,1.38
2014-09-22,Ottawa,5.15
2014-09-22,Edmonton,5.52
2014-09-22,Quebec City,2.87
2014-09-22,Winnipeg,4.73
2014-09-22,Hamilton,6.26
2014-09-22,Halifax,3.39
2014-09-23,Toronto,6.39
2014-09-23,Vancouver,4.1
2014-09-23,Montreal,4.91
2014-09-23,Calgary,6.12
2014-09-23,Ottawa,6.26
2014-09-23,Edmonton,3.61
2014-09-23,Quebec City,5.08
2014-09-23,Winnipeg,2.32
2014-09-23,Hamilton,1.83
2014-09-23,Halifax,4.15
2014-09-24,Toronto,6.15
2014-09-24,Vancouver,2.74
2014-09-24,Montreal,2.84
2014-09-24,Calgary,3.37
2014-09-24,Ottawa,4.55
2014-09-24,Edmonton,5.19
2014-09-24,Quebec City,3.36
2014-09-24,Winnipeg,4.23
2014-09-24,Hamilton,4.24
2014-09-24,Halifax,6.82
2014-09-25,Toronto,5.95
2014-09-25,Vancouver,5.21
2014-09-25,Montreal,6.7
2014-09-25,Calgary,5.24
2014-09-25,Ottawa,3.45
2014-09-25,Edmonton,1.23
2014-09-25,Quebec City,4.15
2014-09-25,Winnipeg,6.91
2014-09-25,Hamilton,3.76
2014-09-25,Halifax,2.78
2014-09-26,Toronto,2.13
2014-09-26,Vancouver,3.32
2014-09-26,Montreal,7.1
2014-09-26,Calgary,4.03
2014-09-26,Ottawa,5.8
2014-09-26,Edmonton,4.08
2014-09-26,Quebec City,5.66
2014-09-26,Winnipeg,5.06
2014-09-26,Hamilton,8.06
2014-09-26,Halifax,7.46
2014-09-27,Toronto,7.65
2014-09-27,Vancouver,6.12
2014-09-27,Montreal,6.42
2014-09-27,Calgary,7.49
2014-09-27,Ottawa,7.28
2014-09-27,Edmonton,6.16
2014-09-27,Quebec City,5.6
2014-09-27,Winnipeg,6.02
2014-09-27,Hamilton,3.93
2014-09-27,Halifax,5.35
2014-09-28,Toronto,7.66
2014-09-28,Vancouver,5.62
2014-09-28,Montreal,3.2
2014-09-28,Calgary,7.68
2014-09-28,Ottawa,1.46
2014-09-28,Edmonton,6.73
2014-09-28,Quebec City,8.34
2014-09-28,Winnipeg,7.83
2014-09-28,Hamilton,7.02
2014-09-28,Halifax,5.97
2014-09-29,Toronto,4.18
2014-09-29,Vancouver,5.46
2014-09-29,Montreal,7.01
2014-09-29,Calgary,7.67
2014-09-29,Ottawa,6.13
2014-09-29,Edmonton,3.7
2014-09-29,Quebec City,7.4
2014-09-29,Winnipeg,8.01
2014-09-29,Hamilton,7.32
2014-09-29,Halifax,7.58
