Date,City,Temperature (°C),Max Temperature (°C),Min Temperature (°C),Precipitation (mm),Wind Speed (m/s),Max Wind Speed (m/s),Min Wind Speed (m/s),Estimated Solar Energy Consumption (kWh)
2014-10-10,Hamilton,16.14,20.32,12.81,1.65,4.76,6.2,3.4,0.0007651871999999998
2014-10-10,Halifax,14.86,17.64,12.4,1.51,3.3,5.54,1.69,0.00038309119999999997
2014-10-11,Toronto,16.06,20.08,12.22,0.13,2.91,7.34,1.88,0.0006279968
2014-10-11,Vancouver,19.19,23.24,15.92,0.13,6.45,7.9,4.41,0.0005379199999999999
2014-10-11,Montreal,18.76,21.64,17.39,7.52,3.37,5.87,1.43,3.329280000000001e-05
2014-10-11,Calgary,16.74,17.72,15.73,5.49,5.67,6.74,4.04,1.9468800000000006e-05
2014-10-11,Ottawa,16.78,19.38,14.71,1.09,3.72,4.98,2.52,6.91488e-05
2014-10-11,Edmonton,16.9,19.06,15.17,0.67,4.07,5.06,3.13,0.00016927999999999998
2014-10-11,Quebec City,17.9,20.98,15.69,0.05,2.87,4.3,2.02,0.00015068480000000002
2014-10-11,Winnipeg,18.07,19.97,16.85,0.16,4.27,6.11,2.13,0.0001254528
2014-10-11,Hamilton,18.69,19.71,17.72,4.33,4.42,6.6,3.19,5.575680000000001e-05
2014-10-11,Halifax,19.24,21.68,17.26,1.15,4.51,5.93,3.23,0.0001905152
2014-10-12,Toronto,19.85,23.02,17.42,0.07,3.9,4.99,3.09,0.0004101248000000001
2014-10-12,Vancouver,19.79,22.83,17.35,0.96,3.86,5.77,2.23,0.0002918528
2014-10-12,Montreal,19.05,21.39,17.07,0.42,4.57,5.44,3.24,0.00011796479999999999
2014-10-12,Calgary,19.21,21.72,16.76,1.07,2.93,3.89,1.23,0.0002384928
2014-10-12,Ottawa,18.78,21.44,16.44,10.08,2.92,6.56,0.58,5.491520000000001e-05
2014-10-12,Edmonton,15.17,16.68,12.77,10.42,7.23,9.86,3.86,9.031679999999998e-05
2014-10-12,Quebec City,13.21,15.4,11.91,1.59,8.19,9.78,6.97,0.0003115008000000001
2014-10-12,Winnipeg,11.73,14.09,9.72,0.96,7.01,8.47,5.36,0.0003548448
2014-10-12,Hamilton,14.65,19.7,10.22,0.66,6.51,7.52,5.78,0.0004967552
2014-10-12,Halifax,15.74,18.27,13.1,0.6,6.02,8.14,4.21,0.00010952000000000002
2014-10-13,Toronto,16.34,18.94,12.91,4.33,6.58,8.73,3.01,3.8019200000000004e-05
2014-10-13,Vancouver,8.99,11.24,7.07,0.94,4.51,9.17,1.09,0.00021966080000000005
2014-10-13,Montreal,9.12,10.38,8.12,2.12,2.18,3.82,0.07,0.00018278720000000005
2014-10-13,Calgary,11.72,13.64,9.95,2.27,3.06,6.18,0.87,0.0002899232
2014-10-13,Ottawa,10.37,12.03,8.17,11.4,9.84,11.33,7.44,7.6832e-06
2014-10-13,Edmonton,8.48,9.34,7.79,5.22,9.11,10.38,7.44,2.7084800000000005e-05
2014-10-13,Quebec City,11.9,14.95,9.48,1.43,4.49,7.1,1.93,0.00034637120000000006
2014-10-13,Winnipeg,11.09,12.16,9.34,0.2,8.12,10.14,5.1,0.00015913279999999998
2014-10-13,Hamilton,12.09,13.24,11.12,5.99,8.88,10.48,6.93,5.575680000000001e-05
2014-10-13,Halifax,10.91,11.5,10.03,6.07,6.18,9.78,1.32,3.07328e-05
2014-10-14,Toronto,11.87,15.08,9.74,1.0,6.76,9.76,2.19,0.00016056320000000006
2014-10-14,Vancouver,8.82,10.49,7.56,0.78,8.76,10.37,6.64,0.0002562848
2014-10-14,Montreal,7.18,8.89,5.83,0.63,8.21,9.14,6.22,0.0001678112
2014-10-14,Calgary,5.77,7.39,4.45,0.97,4.75,6.42,2.63,0.00018278720000000005
2014-10-14,Ottawa,5.63,7.46,4.57,0.66,3.09,3.66,2.55,0.00010716480000000002
2014-10-14,Edmonton,6.76,9.58,4.45,1.0,3.75,5.25,1.96,0.0002455328
2014-10-14,Quebec City,8.97,11.49,6.84,0.36,4.93,5.32,4.27,0.0002765952
2014-10-14,Winnipeg,11.06,15.12,8.32,0.13,5.54,7.59,4.02,0.000288
2014-10-14,Hamilton,11.61,16.07,8.35,0.48,5.31,7.61,3.55,0.0002765952
2014-10-14,Halifax,10.88,13.16,9.35,1.18,4.02,5.42,1.94,6.272e-05
2014-10-15,Toronto,9.57,12.84,6.5,0.4,3.39,5.84,1.77,0.000288
2014-10-15,Vancouver,10.99,13.58,8.18,0.45,7.31,8.77,5.21,7.688000000000001e-05
2014-10-15,Montreal,10.81,13.6,8.2,2.1,7.91,10.78,5.7,0.0001905152
2014-10-15,Calgary,6.22,7.88,4.94,1.75,8.15,10.12,4.9,0.00013447999999999997
2014-10-15,Ottawa,5.26,6.32,3.49,4.03,6.69,8.37,2.23,6.771200000000001e-06
2014-10-15,Edmonton,5.04,6.54,3.52,2.53,6.5,8.27,2.44,0.00011190080000000001
2014-10-15,Quebec City,5.3,7.14,3.65,0.83,5.51,7.58,2.55,0.00014929920000000002
2014-10-15,Winnipeg,10.74,14.93,5.95,0.63,8.1,11.74,4.84,8.652800000000003e-06
2014-10-15,Hamilton,7.98,13.94,3.49,0.82,8.7,10.66,6.2,4.9203200000000004e-05
2014-10-15,Halifax,4.3,6.66,2.98,0.46,7.65,10.7,3.68,0.0001451808
2014-10-16,Toronto,6.26,7.91,3.61,0.07,6.38,8.26,3.43,5e-05
2014-10-16,Vancouver,7.15,9.55,4.82,1.74,6.4,11.67,1.11,4.0140800000000014e-05
2014-10-16,Montreal,2.73,6.95,1.6,0.6,9.63,12.41,7.54,9.577279999999999e-05
2014-10-16,Calgary,2.02,4.07,0.6,0.25,4.77,7.44,3.59,0.00018585920000000004
2014-10-16,Ottawa,6.0,8.82,1.56,0.02,7.04,9.49,4.85,9.800000000000001e-05
2014-10-16,Edmonton,7.45,8.84,4.85,2.57,6.3,8.37,4.38,3.6992000000000005e-06
2014-10-16,Quebec City,1.82,4.56,-0.16,1.46,9.51,11.7,7.46,3.2e-05
2014-10-16,Winnipeg,0.97,3.14,-0.65,1.67,4.71,7.36,0.98,5.161280000000001e-05
2014-10-16,Hamilton,0.98,1.73,-0.22,5.01,2.73,6.42,0.61,1.2300800000000001e-05
2014-10-16,Halifax,0.99,2.79,-0.98,0.76,3.91,5.25,1.9,5.74592e-05
2014-10-17,Toronto,2.76,4.52,1.12,2.51,5.26,9.66,2.19,3.07328e-05
2014-10-17,Vancouver,4.34,6.1,2.2,0.48,6.14,9.38,3.66,8.192e-05
2014-10-17,Montreal,6.76,9.6,2.39,1.04,10.75,14.03,7.15,2.8275199999999997e-05
2014-10-17,Calgary,1.83,3.31,0.95,0.01,4.46,6.61,2.28,5.491520000000001e-05
2014-10-17,Ottawa,3.06,5.64,1.04,0.4,7.0,10.63,1.08,6.727999999999999e-05
2014-10-17,Edmonton,2.4,6.12,1.4,6.76,6.15,10.32,0.47,1.75232e-05
2014-10-17,Quebec City,5.56,8.89,0.78,4.94,11.35,15.13,7.65,1.4796800000000002e-05
2014-10-17,Winnipeg,-0.86,0.36,-2.78,0.57,6.43,10.95,2.6,3.461120000000001e-05
2014-10-17,Hamilton,-1.71,-0.86,-3.24,1.39,3.91,7.84,0.42,1.9468800000000006e-05
2014-10-17,Halifax,0.0,2.35,-2.09,0.75,5.13,8.49,2.09,1.6588799999999996e-05
2014-10-18,Toronto,4.31,5.54,2.61,0.19,4.78,6.23,2.22,3.59552e-05
2014-10-18,Vancouver,7.25,12.94,3.16,7.12,12.35,20.38,6.1,6.45248e-05
2014-10-18,Montreal,3.71,6.46,0.26,0.99,10.37,13.54,7.52,0.00015770880000000003
2014-10-18,Calgary,5.53,8.21,2.59,0.18,9.71,12.88,6.07,0.00014929920000000002
2014-10-18,Ottawa,3.8,5.73,1.48,0.83,4.74,7.41,2.78,0.0001465472
2014-10-18,Edmonton,6.46,8.8,4.23,0.46,7.26,8.65,5.31,4.3808e-06
2014-10-18,Quebec City,10.07,12.83,5.12,0.83,12.23,15.31,8.22,2.1516800000000004e-05
2014-10-18,Winnipeg,2.76,4.8,1.13,0.24,7.36,11.5,2.92,0.00015207680000000001
2014-10-18,Hamilton,0.88,2.32,-0.98,3.67,7.18,9.78,3.43,5.379200000000001e-06
2014-10-18,Halifax,-1.8,-0.81,-2.92,1.12,4.45,7.51,0.26,0.00012168
2014-10-19,Toronto,2.07,3.73,-1.64,0.05,8.44,10.63,2.5,4.9203200000000004e-05
2014-10-19,Vancouver,2.36,3.56,0.36,0.38,5.4,10.1,1.55,5.408e-05
2014-10-19,Montreal,0.1,3.9,-1.73,1.2,10.42,12.29,7.17,6.36192e-05
2014-10-19,Calgary,-0.87,0.61,-2.48,1.64,4.65,6.77,2.54,5.080320000000001e-05
2014-10-19,Ottawa,2.82,4.46,0.49,0.88,4.18,6.38,1.75,2.1516800000000004e-05
2014-10-19,Edmonton,3.9,4.65,1.79,3.99,3.2,5.19,0.14,9.331200000000001e-06
2014-10-19,Quebec City,1.62,4.12,-1.19,1.51,5.42,6.09,3.95,3.13632e-05
2014-10-19,Winnipeg,0.36,2.67,-1.62,0.61,7.43,11.58,2.07,6.771200000000001e-06
2014-10-19,Hamilton,1.68,2.37,0.61,0.47,5.59,10.57,1.18,3.942720000000001e-05
2014-10-19,Halifax,2.47,3.99,1.3,0.43,3.89,6.34,1.43,2.0995200000000005e-05
2014-10-20,Toronto,2.27,3.64,1.11,0.58,2.42,4.29,1.38,2.5347200000000004e-05
2014-10-20,Vancouver,4.12,6.39,2.46,0.07,2.55,3.86,1.22,3.329280000000001e-05
2014-10-20,Montreal,2.4,3.75,-0.28,1.34,5.65,8.8,1.1,8e-06
2014-10-20,Calgary,-4.07,-1.03,-6.78,4.15,7.5,9.12,6.0,3.2e-05
2014-10-20,Ottawa,-6.43,-2.66,-8.25,1.38,4.11,7.09,0.85,0.0001229312
2014-10-20,Edmonton,0.11,2.46,-2.73,0.88,7.31,8.54,5.31,9.46688e-05
2014-10-20,Quebec City,2.22,5.53,-3.15,0.53,11.89,15.35,6.84,1.43648e-05
2014-10-20,Winnipeg,-3.17,-1.79,-4.26,0.45,9.43,12.55,5.85,7.589120000000001e-05
2014-10-20,Hamilton,-5.71,-3.7,-7.72,0.67,7.25,9.6,5.25,0.00011796479999999999
2014-10-20,Halifax,-3.24,1.77,-8.65,0.3,5.27,10.38,0.88,7.787520000000002e-05
2014-10-21,Toronto,1.43,3.93,-3.66,0.96,11.16,12.89,9.99,1.568e-05
2014-10-21,Vancouver,-6.04,-4.04,-10.26,0.81,10.81,11.71,8.79,9.031679999999998e-05
2014-10-21,Montreal,-7.97,-1.09,-12.08,1.41,6.59,13.51,2.27,4.76288e-05
2014-10-21,Calgary,1.06,2.63,-0.8,2.33,8.27,14.6,2.25,5.12e-06
2014-10-21,Ottawa,0.77,2.7,-1.17,1.52,2.59,4.62,1.14,1.8483200000000003e-05
2014-10-21,Edmonton,-6.01,-1.23,-12.53,0.05,7.99,8.92,4.75,0.00011796479999999999
2014-10-21,Quebec City,-12.15,-9.3,-13.76,0.05,6.01,8.48,3.91,0.00011919679999999999
2014-10-21,Winnipeg,-4.68,-0.39,-9.46,0.75,4.65,6.92,3.74,0.00017521920000000002
2014-10-21,Hamilton,-1.85,-0.44,-2.6,12.07,10.84,13.31,4.81,9.331200000000001e-06
2014-10-21,Halifax,-3.47,0.02,-5.88,1.4,5.95,9.73,1.47,0.0001397792
2014-10-22,Toronto,1.1,4.33,-4.7,1.0,11.46,14.09,9.63,4.6080000000000006e-05
2014-10-22,Vancouver,-8.91,-5.64,-10.82,0.86,6.69,9.28,4.53,0.0001451808
2014-10-22,Montreal,-9.33,-8.01,-10.79,0.22,3.19,4.59,1.68,0.00011796479999999999
2014-10-22,Calgary,-4.78,-2.4,-8.36,0.11,8.82,12.49,3.67,6.821120000000002e-05
2014-10-22,Ottawa,-5.48,-2.51,-9.32,0.23,6.39,9.66,4.05,8.606720000000002e-05
2014-10-22,Edmonton,-5.67,-3.48,-9.4,1.63,5.21,7.65,1.77,4.6851199999999996e-05
2014-10-22,Quebec City,-5.69,-4.31,-7.61,0.3,6.6,8.33,3.74,0.00014929920000000002
2014-10-22,Winnipeg,-7.02,-5.81,-8.04,0.1,4.04,8.8,1.79,0.00010952000000000002
2014-10-22,Hamilton,-3.64,-1.84,-6.97,0.23,11.4,13.64,8.08,4.76288e-05
2014-10-22,Halifax,-9.2,-2.76,-11.07,0.07,7.01,9.63,5.32,0.0001634432
2014-10-23,Toronto,-10.14,-7.55,-12.87,0.35,5.34,6.64,4.04,0.0002179872
2014-10-23,Vancouver,-5.9,-3.47,-9.01,1.15,3.31,4.25,2.71,0.0001204352
2014-10-23,Montreal,-2.91,-1.21,-4.99,0.22,3.75,6.01,1.59,0.0001318688
2014-10-23,Calgary,0.71,3.54,-2.71,0.08,7.73,11.26,6.01,0.0001812608
2014-10-23,Ottawa,2.03,3.4,-0.9,4.66,6.29,9.95,2.33,2.5347200000000004e-05
2014-10-23,Edmonton,-4.3,-1.15,-6.99,3.7,9.26,10.24,7.87,4.2319999999999995e-05
2014-10-23,Quebec City,-8.07,-7.24,-9.0,3.31,6.68,9.92,4.31,0.0001371168
2014-10-23,Winnipeg,-8.47,-6.27,-10.21,0.37,5.0,7.63,0.56,0.00036126719999999993
2014-10-23,Hamilton,-1.71,1.38,-5.53,0.05,9.1,11.18,6.49,0.00025992000000000007
2014-10-23,Halifax,0.27,3.19,-1.53,0.1,6.36,7.2,5.05,0.00022641920000000002
2014-10-24,Toronto,-1.7,-0.12,-3.08,0.34,6.04,7.74,4.73,0.00016927999999999998
2014-10-24,Vancouver,1.3,4.08,-2.7,0.22,7.09,8.41,5.79,0.00022302720000000003
2014-10-24,Montreal,1.38,2.67,-0.58,0.15,8.33,10.81,6.39,0.00011070720000000001
2014-10-24,Calgary,1.38,4.03,-0.99,2.37,9.29,12.35,6.57,0.00010253120000000003
2014-10-24,Ottawa,-4.01,1.76,-9.34,0.88,8.17,11.32,4.66,0.00021966080000000005
2014-10-24,Edmonton,-9.57,-8.38,-10.94,0.3,4.02,4.79,3.21,0.0002841728
2014-10-24,Quebec City,-9.53,-8.26,-11.48,0.35,5.04,5.77,3.96,0.0004286592000000001
2014-10-24,Winnipeg,-4.75,-2.98,-8.02,0.07,5.17,8.1,1.03,0.00030752000000000004
2014-10-24,Hamilton,3.17,7.41,-2.87,0.3,11.15,14.99,5.85,0.000288
2014-10-24,Halifax,2.67,7.1,-2.39,14.7,9.54,15.12,4.89,4.0140800000000014e-05
2014-10-25,Toronto,-5.31,-3.09,-7.39,5.24,9.29,13.28,5.97,0.0002918528
2014-10-25,Vancouver,-5.24,-0.95,-7.6,2.19,12.83,17.03,5.49,0.00025088
2014-10-25,Montreal,-0.72,4.49,-6.52,0.25,11.72,14.62,6.14,0.00039874879999999993
2014-10-25,Calgary,2.5,4.38,0.78,0.3,5.32,9.12,0.99,0.0003015968
2014-10-25,Ottawa,3.56,6.0,-0.62,4.6,6.63,9.51,4.41,6.821120000000002e-05
2014-10-25,Edmonton,-2.93,6.24,-7.12,1.37,9.48,13.26,4.61,0.00039424320000000003
2014-10-25,Quebec City,-5.98,-3.92,-8.18,0.15,6.61,9.62,4.73,0.0004216608
2014-10-25,Winnipeg,-5.18,-3.9,-6.57,2.3,8.59,12.89,4.9,0.0003055392
2014-10-25,Hamilton,-3.27,-0.44,-6.98,0.85,8.56,11.52,5.17,0.00022641920000000002
2014-10-25,Halifax,-1.97,1.13,-5.39,1.38,10.64,12.26,6.55,0.0003055392
2014-10-26,Toronto,-5.62,-2.03,-8.45,0.36,3.92,6.46,0.85,0.0004333568000000001
2014-10-26,Vancouver,0.68,3.98,-1.63,0.67,5.72,8.18,3.82,0.00020645120000000003
2014-10-26,Montreal,0.25,3.64,-2.19,0.53,5.25,12.6,1.84,0.0004170272
2014-10-26,Calgary,-5.2,-2.7,-6.92,0.49,7.49,13.16,4.29,0.0005248799999999999
2014-10-26,Ottawa,-2.09,2.4,-6.26,0.3,6.07,8.64,3.02,0.0004380800000000001
2014-10-26,Edmonton,1.47,3.68,-1.23,0.11,5.11,7.9,1.32,0.0003215648
2014-10-26,Quebec City,6.94,12.81,0.43,1.69,10.9,16.28,4.92,0.0005725728000000001
2014-10-26,Winnipeg,0.31,1.52,-1.14,2.91,6.03,9.94,1.76,5.918720000000001e-05
2014-10-26,Hamilton,-0.18,2.27,-1.74,0.69,5.84,7.95,4.56,0.0005300768000000001
2014-10-26,Halifax,1.44,4.08,-0.67,0.1,3.77,7.17,1.34,0.00031752
2014-10-27,Toronto,0.75,3.46,-1.16,0.07,4.01,5.95,2.33,0.0005617952000000001
2014-10-27,Vancouver,-0.09,1.0,-1.42,2.45,3.86,7.12,0.46,7.29632e-05
2014-10-27,Montreal,-4.09,-1.56,-5.89,2.25,11.33,14.49,6.55,0.0003215648
2014-10-27,Calgary,-3.23,0.24,-7.19,0.63,9.57,11.62,6.3,0.0002213408
2014-10-27,Ottawa,2.3,6.19,-1.92,1.15,3.31,6.04,0.79,0.00027848000000000006
2014-10-27,Edmonton,1.27,1.9,0.53,2.81,3.92,5.45,1.2,0.00014929920000000002
2014-10-27,Quebec City,1.43,2.75,-0.16,0.15,2.44,4.39,0.46,0.00022302720000000003
2014-10-27,Winnipeg,6.52,13.16,2.67,1.23,3.56,4.82,0.9,0.0007403552
2014-10-27,Hamilton,5.87,9.39,3.06,0.09,4.61,9.89,2.74,0.00041472
2014-10-27,Halifax,6.02,10.44,3.89,4.12,6.49,12.68,0.23,0.00010368
2014-10-28,Toronto,4.29,7.6,2.15,1.81,7.12,8.56,5.41,0.0005780000000000002
2014-10-28,Vancouver,4.1,8.22,1.16,0.66,5.07,5.91,4.16,0.0007342112
2014-10-28,Montreal,1.98,3.84,-0.3,1.04,4.09,7.04,1.63,0.0005591168
2014-10-28,Calgary,3.25,4.37,2.33,8.86,9.83,13.23,5.56,3.942720000000001e-05
2014-10-28,Ottawa,6.23,8.7,4.14,1.27,5.89,8.18,4.16,0.00021632
2014-10-28,Edmonton,3.95,5.64,2.45,0.21,6.58,8.09,4.25,0.00013844480000000005
2014-10-28,Quebec City,2.8,5.39,-0.08,1.37,7.21,11.52,4.45,0.0002179872
2014-10-28,Winnipeg,-2.75,-0.29,-4.75,1.15,10.65,11.83,8.42,0.00039200000000000004
2014-10-28,Hamilton,-5.42,-4.35,-7.18,1.39,9.11,10.8,6.52,0.0005999648
2014-10-28,Halifax,-1.07,2.88,-4.39,0.14,4.34,7.26,0.13,0.0012300800000000001
2014-10-29,Toronto,2.21,5.08,-0.18,0.98,6.06,9.75,1.97,7.787520000000002e-05
2014-10-29,Vancouver,8.01,13.02,2.85,0.88,9.14,15.8,4.04,0.0005617952000000001
2014-10-29,Montreal,1.8,3.58,-0.52,0.92,7.61,10.31,5.05,0.00025267520000000007
2014-10-29,Calgary,1.57,3.96,-0.97,0.07,3.35,5.93,1.57,0.0009331200000000002
2014-10-29,Ottawa,2.72,4.89,0.48,1.37,5.24,5.79,4.23,0.00023674880000000003
2014-10-29,Edmonton,2.72,5.06,-0.39,0.47,2.73,5.25,1.0,0.0005752832
2014-10-29,Quebec City,5.24,9.43,2.52,1.1,4.47,6.22,2.99,0.0008388608000000001
2014-10-29,Winnipeg,7.25,9.53,4.47,2.31,6.02,8.6,3.19,0.00038309119999999997
2014-10-29,Hamilton,7.43,10.43,4.45,2.26,3.62,5.2,0.96,0.0005300768000000001
2014-10-29,Halifax,4.99,6.72,2.92,1.33,5.04,6.82,1.11,0.0005511200000000001
2014-10-30,Toronto,3.82,6.41,1.2,0.27,4.98,6.52,3.69,0.0002918528
2014-10-30,Vancouver,3.49,6.29,0.84,1.15,5.19,7.44,1.48,0.0006083072000000001
2014-10-30,Montreal,5.71,8.89,2.21,0.36,5.12,7.39,1.8,0.0004310048
2014-10-30,Calgary,8.99,13.82,3.82,2.49,3.0,6.16,0.92,0.0013025408
2014-10-30,Ottawa,10.74,15.14,5.62,1.45,4.27,7.72,2.26,0.0003297312
2014-10-30,Edmonton,9.15,11.04,6.39,0.71,7.95,11.23,3.9,0.00095048
2014-10-30,Quebec City,6.49,10.43,3.89,1.15,8.64,14.23,5.23,0.0005944351999999999
2014-10-30,Winnipeg,4.01,6.92,0.96,3.23,5.08,8.82,3.27,0.0006859807999999999
2014-10-30,Hamilton,3.04,6.35,0.35,0.31,3.8,7.35,0.74,0.00133128
2014-10-30,Halifax,3.0,5.85,1.31,4.71,6.12,8.0,2.56,0.0003786752
2014-10-31,Toronto,3.56,5.57,0.68,1.56,9.13,12.37,6.14,0.00027848000000000006
2014-10-31,Vancouver,4.51,8.02,0.23,0.59,4.89,8.65,2.53,0.0015191071999999999
2014-10-31,Montreal,8.3,11.99,4.14,3.3,7.78,12.27,5.34,0.0002298368
2014-10-31,Calgary,6.79,10.37,2.68,0.41,2.88,4.42,0.73,0.0015769728000000001
2014-10-31,Ottawa,5.81,7.97,4.27,0.74,6.46,8.75,1.95,0.00039874879999999993
2014-10-31,Edmonton,9.29,15.38,4.29,0.37,3.67,6.4,2.39,0.0013025408
2014-10-31,Quebec City,11.75,15.13,7.9,4.84,4.02,6.09,2.44,0.0002455328
2014-10-31,Winnipeg,6.66,8.58,3.38,2.34,4.5,5.61,3.57,0.00023674880000000003
2014-10-31,Hamilton,2.4,4.26,0.54,1.89,7.24,8.41,5.82,0.0005018112
2014-10-31,Halifax,4.01,8.21,0.08,0.04,5.37,6.93,3.68,0.0018923552000000006
2014-11-01,Toronto,6.21,11.81,0.97,0.09,3.62,6.51,0.97,0.0012199219999999998
2014-11-01,Vancouver,6.71,10.46,2.61,0.59,3.61,5.3,2.43,0.0009800000000000002
2014-11-01,Montreal,7.91,10.11,4.86,3.66,5.53,8.03,0.76,8.9042e-05
2014-11-01,Calgary,9.1,10.8,7.33,1.38,4.01,5.56,1.5,5.9168e-05
2014-11-01,Ottawa,8.22,9.38,7.04,5.47,3.8,7.37,1.07,0.00013312800000000002
2014-11-01,Edmonton,9.81,15.29,5.79,5.5,5.56,8.25,1.96,0.0003680820000000001
2014-11-01,Quebec City,8.26,11.13,5.04,1.84,3.24,5.56,1.51,0.0008064500000000001
2014-11-01,Winnipeg,8.05,9.43,6.45,0.49,5.69,8.47,2.85,0.00041223200000000006
2014-11-01,Hamilton,8.02,10.64,5.33,0.02,6.66,8.99,3.12,0.0012864079999999997
2014-11-01,Halifax,7.85,10.91,4.34,0.37,4.46,5.83,2.97,0.0013057280000000001
2014-11-02,Toronto,9.1,13.19,5.0,0.17,4.26,5.97,2.03,0.001245042
2014-11-02,Vancouver,11.17,16.82,7.55,0.1,4.58,6.08,3.36,0.000932978
2014-11-02,Montreal,12.83,17.15,9.4,0.33,2.27,3.54,0.29,0.001054152
2014-11-02,Calgary,12.97,18.38,8.82,2.94,3.01,4.21,1.73,0.0011280020000000001
2014-11-02,Ottawa,16.09,21.51,11.69,0.08,3.57,5.54,2.59,0.0011130320000000003
2014-11-02,Edmonton,17.03,21.95,12.94,1.0,2.14,2.83,0.49,0.0010339220000000003
2014-11-02,Quebec City,17.12,23.04,12.45,1.42,2.37,3.28,0.55,0.0010281780000000003
2014-11-02,Winnipeg,11.88,14.65,10.71,4.09,4.49,6.78,2.12,0.000157922
2014-11-02,Hamilton,10.72,13.84,7.42,1.66,6.31,7.75,4.47,0.000729632
2014-11-02,Halifax,9.61,12.97,6.24,0.89,2.72,4.43,1.56,0.00034611200000000004
2014-11-03,Toronto,12.6,17.79,8.36,1.52,3.49,4.44,0.33,0.0004802000000000002
2014-11-03,Vancouver,15.26,18.71,11.09,0.62,5.51,7.69,2.65,0.0005242880000000002
2014-11-03,Montreal,16.85,18.95,14.56,1.76,5.57,9.37,2.06,0.000373248
2014-11-03,Calgary,12.87,15.8,9.21,2.42,3.76,6.19,0.34,0.00011424200000000001
2014-11-03,Ottawa,11.56,15.26,7.56,0.52,2.75,5.37,0.98,0.000826898
2014-11-03,Edmonton,11.76,14.48,8.62,0.08,3.85,4.46,3.09,0.001125
2014-11-03,Quebec City,12.83,15.38,10.11,0.36,4.88,5.93,3.44,0.0005181620000000001
2014-11-03,Winnipeg,16.4,19.25,13.4,0.79,5.7,8.14,3.54,0.00047628799999999995
2014-11-03,Hamilton,15.9,18.48,12.43,4.98,4.55,5.78,3.02,0.00029032200000000003
2014-11-03,Halifax,15.41,19.61,11.38,0.82,2.68,4.28,1.06,0.000783752
2014-11-04,Toronto,16.75,20.95,12.1,0.37,2.35,3.22,0.91,0.0011011279999999998
2014-11-04,Vancouver,18.0,22.54,13.55,0.63,4.73,6.58,1.15,0.0011011279999999998
2014-11-04,Montreal,19.83,23.69,15.31,0.23,5.27,7.19,4.27,0.000946688
2014-11-04,Calgary,18.13,21.8,13.24,4.31,4.26,5.79,2.83,0.00023392800000000003
2014-11-04,Ottawa,15.58,21.12,11.07,1.39,3.67,5.32,1.66,0.0005366479999999999
2014-11-04,Edmonton,16.51,21.24,11.54,1.73,4.09,7.09,2.25,0.000999698
2014-11-04,Quebec City,14.11,17.78,9.27,0.81,4.77,6.93,1.98,0.0014964500000000003
2014-11-04,Winnipeg,16.72,20.11,11.86,1.14,2.76,4.14,0.42,0.000847602
2014-11-04,Hamilton,16.25,19.99,13.55,4.59,2.93,4.63,0.98,0.000228488
2014-11-04,Halifax,16.18,18.91,12.89,9.89,6.48,10.41,3.49,0.00016245000000000002
2014-11-05,Toronto,15.82,19.12,11.73,2.46,3.26,6.11,0.85,0.000860672
2014-11-05,Vancouver,16.01,18.7,13.64,6.4,4.9,6.2,3.58,0.00047433800000000004
2014-11-05,Montreal,16.27,19.35,11.66,0.84,4.44,5.78,1.8,0.001198152
2014-11-05,Calgary,17.8,20.78,13.98,0.38,4.08,5.22,3.43,0.0006914880000000001
2014-11-05,Ottawa,17.87,20.59,13.99,2.15,5.29,7.07,4.26,0.00032320799999999996
2014-11-05,Edmonton,17.86,23.77,11.74,1.75,1.97,4.19,0.18,0.0010981620000000002
2014-11-05,Quebec City,18.54,21.71,15.17,5.92,2.9,5.68,1.28,0.001334978
2014-11-05,Winnipeg,20.73,25.96,16.33,0.55,3.05,4.22,2.05,0.0005
2014-11-05,Hamilton,22.17,24.85,19.73,1.53,5.79,7.39,2.93,0.000746642
2014-11-05,Halifax,19.58,22.96,14.75,1.32,8.02,10.83,5.09,0.001238738
2014-11-06,Toronto,15.11,18.33,11.84,0.23,8.94,10.45,6.13,0.0015770880000000004
2014-11-06,Vancouver,15.16,18.68,11.6,0.01,5.1,7.03,3.45,0.0011704500000000004
2014-11-06,Montreal,16.62,20.64,12.28,0.47,4.12,6.49,1.86,0.000542882
2014-11-06,Calgary,21.93,27.84,15.88,2.44,4.16,5.87,2.07,0.0012513620000000002
2014-11-06,Ottawa,23.26,29.1,17.78,0.24,4.35,7.11,2.48,0.00111005
2014-11-06,Edmonton,19.82,25.37,14.52,2.58,3.9,5.51,1.66,0.00139445
2014-11-06,Quebec City,20.96,27.43,15.02,0.09,2.55,4.6,0.99,0.0013480820000000002
2014-11-06,Winnipeg,21.49,26.27,18.17,0.23,2.78,4.62,1.47,0.0012513620000000002
2014-11-06,Hamilton,21.69,24.06,18.72,2.08,4.75,6.86,2.01,0.000362952
2014-11-06,Halifax,18.26,20.72,15.18,0.14,5.66,7.02,4.44,0.000826898
2014-11-07,Toronto,17.42,21.08,12.92,0.08,4.05,5.96,1.43,0.0014688980000000002
2014-11-07,Vancouver,17.81,21.68,15.16,1.5,2.86,4.68,1.4,0.000445568
2014-11-07,Montreal,19.99,24.44,14.78,0.02,4.23,6.64,1.84,0.0009549620000000001
2014-11-07,Calgary,20.67,23.99,18.71,0.98,5.39,7.4,3.41,0.00028425799999999996
